Nie bój się!	Niy bōj sie!
On ma możność uczynienia nas szczęśliwymi lub nieszczęśliwymi, uczynienia życia naszego lżejszym lub cięższym, a pracy naszej przyjemną lub przykrą.	Ôn może nŏs ucieszyć abo zrobić nŏs niyszczyńśliwych; dać nōm lekõ abo ciynżkõ robotã; przijymność abo prŏcã.
Lord major we wspaniałym pałacu swoim wydawał rozkazy pięćdziesięciu kucharzom i piwniczym, aby przystroili stół świąteczny, jak na dom takiego dygnitarza przystało; nawet ów nędzny krawiec, którego przed tygodniem ten dygnitarz skazał na pięć szylingów kary za pijaństwo i awanturowanie się po ulicy, przygotowywał na swym poddaszu jutrzejszy pudding, a jego wychudła żona wyszła z nie mniej wychudłym dzieckiem po sprawunki do miasta.	Lord Mayor we swojim bastiōnie Mansion House doł rozkŏz swojim piyńćdziesiynciu kuchŏrzōm i bedyntrōm, coby Gody wyglōndały tak, jak Gody u Lorda Mayora wyglōndać winny; nawet mały jeglŏrz, co ôd niego dostoł piyńć szylingōw sztrŏfy we ôstatni pyńdziałek za ôżarstwo i ôstudã na ulicach, miyszoł na fiśli puding, a jego chudŏ baba z bajtlym na rynkach poszła kupić ôwiyńzinã.
— Czy kiedykolwiek żądałem tego?	– Przecã jŏ żech nigdy niy prosiōł ô to.
Twarz jego nie miała jeszcze surowych i ostrych linii lat późniejszych, lecz w rysach jej już się przejawiały pierwsze ślady skąpstwa i jakiegoś niepokoju.	Terŏz ale bōł trochã starszy, jego gymba niy miała takich ôstrych i sztajfnych znakōw, jak we dalszych latach, ale było widać piyrszy jankōr i pragliwość.
Pójdź!	Pōdź!
Przy piecu, w którym spalano szczątki zgniłego drzewa, skleconym niezdarnie z kawałków starych cegieł, siedział wśród swoich towarów siedemdziesięcioletni, białowłosy łotr.	Postrzodku tych tŏwŏrōw, przi piecu wōnglowym ze starych cegeł, siedzioł chachar ze siwymi wosami, co mōg być bezma siedymdziesiōnt lŏt stary.
— Roszpunko, dziewczę moje,	— Co ci dolygŏ, kochanŏ żōno?
— Jeszcze jeden cień! — odparł Duch.	– Jeszcze jedno! – krziknōł duch.
— Dlaczego szczególniej na ich obiad?	– A do jakij wieczerze nojlepij pasuje?
Bardzo mnie to cieszy!	Jak bardzo bōł rŏd ich widzieć!
Każdy miał coś do zauważenia, ale nikt nie ośmielił się powiedzieć ani nawet pomyśleć, że był to jednak za mały pudding dla tak licznej rodziny.	Kożdy mioł ô tym co do pedzyniŏ, ale żŏdnymu by do gowy niy prziszło, iże to bōł za mały puding dlŏ srogij familije.
Biedny Dick!	Roztōmiyły Dick!
Gdy pani Cratchit zauważyła jedną, jedyną, małą kosteczkę pozostawioną na półmisku, oświadczyła z wielką radością, że przecież nie wszystko zostało spożyte!	Ze dodanōm jabkowōm zōuzōm i kartŏflami stykło na wieczerzõ dlŏ cołkij familije; toć, jak to Cratchitowŏ pedziała ze wielkōm radościōm (jak patrzała na malućkõ kostkã na swojim talyrzu), na kōniec ani wszyjskigo niy zjedli!
Joe ukląkł na ziemi dla większej wygody i rozmotawszy nieskończoną ilość supłów, wydobył najprzód ogromny zwój ciemnej materii.	Joe klynknōł, coby łacnij mu sie ôtwiyrało i jak rozpŏsoł moc wynzłōw, wyraziōł srogõ i ciynżkõ rolkã ciymnego sztofu.
— Życzę ci wesołych świąt, Robercie! — odezwał się Scrooge tak poważnie i tak serdecznie, że nie można było wątpić o szczerości jego słów, tym bardziej, że jednocześnie poklepał Boba po ramieniu z poufałością dobrego przyjaciela. — Z całego serca pragnę, aby święta tegoroczne wynagrodziły ci wszystkie święta dawne, któreś ze mną spędził.	– Radosnych Godōw, Bob! – pedzioł Scrooge ze szczyrościōm, w kerõ niy szło niy uwierzić, a poklepoł go po plecach. – Radośniyjszych Godōw aniżeli te, jake żeś skuli mie mioł bez te wszyjske lata, mōj przŏcielu!
Znalazłszy się tuż przy Duchu, Scrooge zauważył jego niezwykle wysoki wzrost i uczuł, że go ogarnia niewypowiedziana trwoga.	Kej bōł blisko, Scrooge klynknōł na kolano przed nim, bo we lufcie, co bez niego mŏra przełaziyła, zdały sie roztopiyrzać mrokew i tajymnica.
Ha, ha, ha!	Ha, ha!
— Ha, ha, ha! — rozprawiała w dalszym ciągu posługaczka, zaśmiewając się cynicznie, podczas gdy Joe, wydobywszy z ukrycia flanelowy worek z pieniędzmi, odliczał każdemu z tej trójki przypadającą należność. — To była rzecz prawdziwie dobra, jedynie dobra, na jaką się zdobył przez całe życie.	– Ha ha! – ôśmioła sie ta sama baba, jak stary Joe wyciōng flanelowy portmanyj z geldym i kożdymu położōł na zŏlu jejich płat. – To je to, widzicie?
Na podłodze wewnątrz sklepu piętrzyły się gromady zardzewiałych kluczy, gwoździ, łańcuchów, zawiasów, pilników, talerzy wag, gwichtów — słowem: najprzeróżniejsze odpadki żelazne.	We postrzodku na dylōwkach leżały kupy zarōściałych kluczy, gwoździ, ketōw, zŏwiasōw, fajlōw, wŏg, gywichtōw i kożdyj inkszyj zorty ôcylowych klamorōw.
— Tak, to moje nazwisko.	– Ja.
Czymże były wesołe święta dla Scrooge'a?	Co to były radosne Gody dlŏ Scrooge’a?
Chodźmy prędzej!	Pōdź, idymy!
Stary Marley był więc martwy jak ćwiek we drzwiach.	Stary Marley bōł umarty choby kamiyń.
— Zawsze, ojcze! — odpowiedzieli wszyscy.	– Nigdy, tato! – krzikli wszyjscy.
— No tak, masz rację.	— Mŏsz recht — ôdpedziała jij pŏtka. — Idź i ôbŏcz.
— Jesteś już prawie kobietą, moja mała siostrzyczko! — zawołał chłopiec.	– Z ciebie już je kobiyta, Fanny! – krziknōł synek.
Nie było nic wesołego w całym otoczeniu — a jednak unosiło się w powietrzu coś tak uroczystego i tak radosnego, że nawet najpiękniejsza letnia pogoda ani najjaśniejsze promienie letniego słońca nie zdołałyby stworzyć czegoś podobnego.	Niy było nic wesołego we klimacie ôd miasta, atoli czuć było takõ uciechã we lufcie, iże nojklarowniyjszy latowy luft i nojjaśniyjszy latowy dziyń mogłyby z tym przegrać.
Nie było takiej rzeczy, której nie byliby uprzątnęli albo nie mogli uprzątnąć, gdy stary Fezziwig patrzył na nich.	Niy było niczego, co ôni by niy skludziyli pod ôkym ôd Fezziwiga.
To wigilia, Ebenezer!	Gody, Ebenezer!
— Bardzo dawnej przeszłości? — zapytał Scrooge, wpatrując się w karlęcą postać zjawiska.	– A niy ma to heresztōw? – zapytoł Scrooge.
Janek wsłuchiwał się ostatni raz, jak wieś gra… Na kilimku przy nim leżały jego skrzypki z gonta.	Jōnek wsuchowoł sie ôstatni roz we wieś grać… Na kilimku przi nim leżała jego skrzipka z szyńdzioła.
— Nie gniewaj się, wuju!	– Nigdy, tato! – krzikli wszyjscy.
— I ja także — szepnął Piotr.	– Jŏ tyż – krziknōł Pyjter. – Durch.
Każdy marynarz znajdujący się na tym okręcie, czuwający czy śpiący, zły czy dobry, miał w tym dniu dla towarzyszy lepsze, cieplejsze słowo niż kiedykolwiek w ciągu roku, każdy uczestniczył w uroczystości, każdy w mniejszym lub większym stopniu doznawał radosnego uczucia, myślał o tych, którzy niezawodnie w tej chwili myślą też o nim.	I kożdy chop na pokładzie: społ abo niy społ, zły abo dobry, mioł dobre słowo dlŏ kogo w tyn dziyń i pamiyntoł ô tych, kerym przoł, i wiedzioł, co ôni pamiyntali ô nim.
Scrooge z całą siłą chwycił skraj szaty Ducha.	– Sztwierć – pedzioł Scrooge.
Gdy tak pewnego razu stał za drzewem, ujrzał czarownicę, która zbliżyła się do wieży i zawołała:	Jedyn rŏz, kej tak stoł za strōmym, to ôbŏczōł, iże prziszła tam czarownica i usłyszoł jã wołać:
Scrooge zapytał o to umyślnie, gdyż nie był pewny, czy istota tak przejrzysta może usiąść na krześle; czuł, że w przeciwnym razie widmo byłoby obowiązane do niezbyt przyjemnych dla niego wyjaśnień.	Scrooge postawiōł to pytanie, pōniywŏż niy wiedzioł, jeźli takŏ przejzdrzistŏ mŏra poradzi siedzieć i zdŏwało mu sie, iże jakby niy mogła, musiałaby to z gańbōm wytuplikować.
— Co to znaczy? — zapytał wreszcie zwykłym swoim, zimnym, mrukliwym tonem. — Czego chcesz ode mnie?	– A co to? – pedzioł Scrooge zimno a gorzko jak dycki – Czego ôdy mie chcesz?
Jakaż tu zasługa?	Co z tego?
— I cóż z tego? — zapytał. — Jeżeli stałem się praktyczniejszy i rozsądniejszy, to nie znaczy, żebym się zmienił względem ciebie.	– I co z tego? – prawiōł – Jakech dorōs i zmōndrzoł, to co z tego?
Widziałam dobrze, jak wszystkie twoje szlachetne uczucia gasły jedno po drugim, tłumione tą namiętnością, która ostatecznie zwyciężyła.	Widziałach twoje inksze ambicyje tracić sie jedna za drugōm, aż nojwiynksze ôbmiyłowanie – profit – zjŏd ciebie.
Tak!	Ha!
Wtedy stary Fezziwig stanął z panią Fezziwig na czele wszystkich tancerzy.	Stary Fezziwig stanōł, coby zatańcować ze Fezziwigowōm, a ś niymi dziesiyńć inkszych pŏr.
Ale taka to już była jego natura.	Ale tako to już była jego natura.
Wcale nie był jak inne dzieci, był raczej jak jego skrzypki z gonta, które zaledwie brzęczały.	Nic niy bōł jak inksze dzieci, bōł barzij jak jego skrzipka z szyńdzioła, co ledwo brzinkała.
Uprowadź mnie stąd!	Wpuścić go!
A teraz niechże mi ktokolwiek raczy wyjaśnić, jeżeli zdoła, jak to się stało, że Scrooge, wsunąwszy klucz w zamek drzwi, zobaczył zamiast kołatki twarz Marleya…	I niych mi terŏz fto wytuplikuje, jak to je, iże Scrooge po wrażyniu klucza do zōmka, ôbejzdrzoł we klekotce, co nic sie niy zmiyniyła, niy klekotkã, ale gymbã ôd Marleya.
Duch usiłował ją wydrzeć, ale Scrooge trzymał ją z całej mocy.	Scrooge rozejzdrzoł sie za duchym, ale niy znŏd go.
Słowa te wymówił, zanim zegar wybił ten kwadrans ostatni, terminowy; w tej chwili jednak, gdy się rozległo jego głuche, złowieszcze, ponure, groźne uderzenie, cały pokój nagle zajaśniał silnym, jaskrawym blaskiem i kotara łóżka Scrooge'a rozsunęła się.	Mały kolyndnik ze modrym nosym, pogryziōnym i ôbtarmolōnym zimōm choby te kości, co je psy tarmolōm, schylōł sie przi Scrooge’owyj dziurce ôd klucza, coby mu zaśpiywać kolyndã, ale przi piyrszych źwiynkach „Cichyj nocy” Scrooge chyciōł linijŏrz ze takōm ynergijōm, iże śpiywŏk uciyk ze takim strachym, że ôstawiōł dziurkã we mgle i zimie.
— Ależ to Ali Baba! — zawołał uradowany Scrooge. — To stary, dobry, drogi, poczciwy Ali Baba!	– Dyć to je Ali Baba! – krziknōł Scrooge we zachwycyniu. – Stary, dobry Ali Baba!
— Idź teraz do ogrodu i przynieś mi dynię.	— Bieżej do zygrody i prziniyś mi baniã.
Nad tą zacną rodziną unosił się jak błogosławieństwo Boże duch maleńkiego Tima.	I jak to mały Tim pedzioł, niych nōm wszyjskim Bōg bogosławi!
Nikt tych słów nie wymówił, a jednak Scrooge dokładnie je słyszał, gdy patrzył na leżącego na łóżku nieboszczyka.	Żŏdyn głos niy pedzioł tych słōw we uszy Scrooge’a, ale ôn słyszoł je, jak dziwoł sie na łōżko.
Znikł także pokój, ogień, czerwony blask, nocna pora, a Scrooge z Duchem znaleźli się na ulicach miasta.	I jak Scrooge i duch szli tak ulicami, jasność ôgni we kuchniach, paradnych izbach i wszyjskich inkszych, była szumnŏ.
Popatrzyli na niego wójt i ławnicy, jak stał przed nimi z palcem w gębie, z wytrzeszczonymi, zalękłymi oczyma, mały, chudy, zamorusany, obity, niewiedzący, gdzie jest i czego od niego chcą?	Popatrzeli na niego fojt i ławnicy, jak stoł przed niymi z palcym w gymbie, z ôtwartymi, wylynkanym ôczami, mały, chudy, zmaraszōny, ôbity, niy wiedzioł, kaj je i czego ôd niego chcōm?
Byli to poważni obywatele, o przyjemnej powierzchowności; zdjąwszy kapelusze, stanęli przy biurku Scrooge'a.	Mŏra wyglōndała zaciekawiōnŏ tymi ludźmi, bo stoła ze Scrooge’ym we dźwiyrzach i ôdkrywała jejich koszyki, i posuwała wieczerze kadzŏkym ze swojij fakle.
Amen!	Amyn!
— Istotnie, tylko w tak wielkie święto można wznosić zdrowie tak podłego, obrzydłego skąpca, człowieka bez serca, jakim jest Scrooge — oburzała się w dalszym ciągu pani Cratchit. — Ty wiesz, Robercie, że on jest taki właśnie.	– Winny to być Gody, tego żech je istŏ – prawiyła – w kere sie pije zdrowie takigo ôszkliwego, chamliwego, twardego czowieka bez uczuć, jak Scrooge.
— Ding-dong!	– Zgŏdnij!
To rzekłszy, Scrooge zbliżył się do jadalni, ostrożnie nacisnął klamkę i wsunął głowę przez uchylone drzwi.	Scrooge dziwoł sie na ducha, smutno pokryńciōł gowōm i zestarany wejzdrzoł na dźwiyrze.
— Hej tam!	– Ha ha!
Być może, iż powodowany radością, jaką odczuwał wskutek swej władzy, a może powodowany serdeczną, uprzejmą naturą i współczuciem dla wszystkich biednych — dość, że Duch zaprowadził Scrooge'a, trzymającego się wciąż jego szaty, do mieszkania jego pomocnika.	I możno duch mioł uciechã we aszyniu sie swojōm siyłōm abo to była czyńść ôd niego miyłyj i szczyryj natury, a tyż jedność ze biydnymi, co przikludziyły go do buchaltra ôd Scrooge’a.
Duch dotknął jego ramienia, wskazując mu jego dawne „ja” pogrążone w czytaniu.	Duch chyciōł go za ramiã i skŏzoł na zaczytanõ modszõ wersyjõ ôd niego.
Cześć i błogosławieństwo Niebiosom i wigilii Bożego Narodzenia za ich dobrodziejstwo!	Radosnych Godōw i szczyńśliwego nowego roku!
Weszła pani Fezziwig, dobrze odżywiona, wiecznie uśmiechnięta dama, uosobienie dobroci i wyrozumiałości.	Weszła Fezziwigowŏ – jedyn srogi, fajny uśmiych.
Scrooge zamknął okno i starannie zbadał drzwi, przez które wszedł duch Marleya.	Scrooge zawar ôkno i wybadoł dźwiyrze, co przez nie duch weszoł.
Co?	Kaj?
— Ależ to głupstwo! — mruczał Scrooge. — Nie wierzę, nie mogę wierzyć, żeby to była rzeczywistość.	– To je nōnsyns tak by tak! – pedzioł Scrooge. – Niy uwierzã w to.
W ogrodzie dworskim nad stawem słowik zaczął śpiewać i pogwizdywać cicho, to głośniej: „Idź!	We dworskij zogrodzie nad stawym słowik wziōn śpiywać i pogwizdować cicho, to głośnij: „Idź!
Scrooge odpowiedział z ironią, że przyjdzie.	Scrooge pedzioł, że to wiy.
— O, dobry Duchu! — błagał Scrooge, leżąc u stóp widma, z twarzą zwróconą do ziemi. — Zmiłuj się nade mną, ratuj mnie!	– Duchu! – pedzioł Scrooge, a trzōns sie ôd stōp do gowy. – Widzã, widzã.
— Co? — mruknął chłopiec mocno zdziwiony.	– Co zaś! – wrōciōł synek.
Widocznie Scrooge był postrachem rodziny, czymś w rodzaju ludożercy.	Scrooge bōł jak strzigōń dlŏ tyj familije.
Więc wówczas zmykał na swoich bosych nogach do domu, a za nim biegł w ciemnościach głos skrzypiec: „Będziem jedli, będziem pili, będziewa się weselili”, i poważny głos basetli: „Jak Bóg dał!	Tōż wtynczos traciōł sie na swojich bosych nogach do dōm, a za nim lecioł we ćmie głos ôd skrzipki: „Bydymy jedli, bydymy piyli, bydymy sie weselyli”, i powożny głos ôd basetle: „Jak Bōg doł!
„On zaś wziął dziecko i postawił wśród nich”.	„I wziōn dziycio, i posadziōł je postrzōd nich.”
— Liche to usprawiedliwienie okradania kieszeni swego pracodawcy każdego 25 grudnia — zrzędził Scrooge, zapinając palto aż pod brodę. — Mniejsza z tym.	– Słabe take tumaczynie za siōnganie kōmu do kabzi kożdego dwudziestego piōntego grudnia! – pedzioł Scrooge i zapiōn mantel pod brodã – Muszã ale ci dać tyn dziyń.
Oprócz mchu, paproci i twardej, ostrej trawy, nic więcej tu nie rosło.	Niy rosło tam nic ôkrōm mechu, kolcolistu i rubyj trŏwy.
Jak sądzisz, Topper?	A ty co miarkujesz, Topper?
Matka, biedna komornica, żyjąca z dnia na dzień niby jaskółka pod cudzą strzechą, może go tam i kochała po swojemu, ale biła dość często i zwykle nazywała „odmieńcem”.	Matka, biydno chałupnica, co żyła z dnia na dziyń choby jaskōłka pod niywłosnōm strzechōm, możno go tam i miyłowała po swojimu, ale biyła doś czynsto
— Kwadrans po dwunastej — zaczął rachować Scrooge.	– Sztwierć – pedzioł Scrooge.
Najlepszym tego dowodem byli mali Cratchitowie, na policzkach ich bowiem świeciły się resztki kompotu i kartofli.	Kożdy do porzōndku sie pojŏd, a małe Cratchity miały na gymbach kōncki zelwije i cebule aże do brwi!
Marta nie chciała dłużej sprawiać ojcu przykrości, choćby nawet tylko przez żarty, wyszła tedy z ukrycia i otoczyła rękoma jego szyję, podczas gdy dwoje małych Cratchitów zajęło się Małym Timem i zaprowadziło go do kuchni, aby przysłuchał się, jak to śpiewa pudding gotujący się w kotle.	Marta niy chciała go widzieć strŏpiōnego, nawet jak to miołby być ino wic, tōż wyszła wartko zza szrankowych dźwiyrzi i ciepła mu sie na kark, a te dwa mode Cratchity wytargały małego Tima do pralnie, coby posuchoł pudingu bulgotać we kotliczku.
— Żeś ty zacna i dobra kobieta.	Ja, była fajnistŏ i urodliwŏ.
— Duchu — szepnął Scrooge, drżąc jak w febrze. — Zrozumiałem, wszystko zrozumiałem.	– Duchu! – pedzioł Scrooge ze złōmanym głosym. – Weź mie stōnd.
Opuściwszy gwarną część miasta, zapuścili się w jedną z jego oddalonych, ubogich dzielnic, gdzie Scrooge nigdy nie zaglądał, wiedząc, że ludność jej miała jak najgorszą opinię.	Wyszli z ciźby i poszli do gorszyj tajle miasta, kaj Scrooge jeszcze nigdy niy bōł, chociŏż wiedzioł kaj ôna je i znoł ôd nij złõ ôpinijõ.
